gene_symbol,023_S_4122,051_S_1072,116_S_4635,073_S_4259,072_S_2116,098_S_2052,067_S_4072,073_S_2190,126_S_2405,082_S_2307,018_S_4597,068_S_2168,067_S_4184,094_S_1417,130_S_4405,018_S_2180,005_S_2390,099_S_0291,005_S_0546,068_S_2171,137_S_1414,072_S_1380,051_S_1040,135_S_4281,022_S_2379,127_S_4210,002_S_4237,003_S_1122,123_S_4170,067_S_2301,067_S_2304,041_S_4513,029_S_4327,072_S_4610,012_S_4128,014_S_0169,002_S_4229,129_S_4287,073_S_2153,057_S_1269,002_S_2043,041_S_4510,131_S_0384,018_S_2133,053_S_0919,002_S_4219,128_S_4636,007_S_2394,137_S_0800,135_S_4489,018_S_2155,014_S_4058,094_S_4162,073_S_4300,018_S_0142,123_S_1300,021_S_2100,036_S_2378,123_S_4127,014_S_4079,027_S_2219,027_S_2336,073_S_2264,021_S_4419,126_S_0709,126_S_4514,941_S_4377,137_S_0973,099_S_4498,035_S_2061,072_S_2072,137_S_0722,005_S_4185,035_S_4114,031_S_4476,099_S_4022,094_S_2367,082_S_4244,053_S_2357,024_S_4169,073_S_4614,007_S_2106,137_S_0668,068_S_0802,013_S_4395,005_S_0572,051_S_1131,053_S_4557,036_S_2380,116_S_4175,014_S_4328,128_S_0200,135_S_4406,136_S_0107,003_S_1074,099_S_4463,024_S_4392,072_S_4445,072_S_2027
APP,7.101636364,6.936181818,7.093272727,7.208545455,7.065909091,6.985545455,7.204363636,7.385636364,6.862636364,6.232454545,7.127636364,6.701181818,7.423454545,6.832363636,6.400454545,7.274090909,7.164181818,6.869090909,7.074363636,7.281818182,7.468181818,6.588,6.954181818,6.944090909,6.158818182,7.411181818,6.229909091,7.515909091,6.709090909,7.721545455,7.404636364,6.734363636,7.243636364,7.476,6.474454545,7.235545455,6.566272727,7.544363636,6.870181818,7.446272727,7.289090909,6.830363636,6.997090909,7.017909091,6.601,7.037454545,7.213181818,7.078727273,7.370454545,7.211454545,6.869545455,6.906818182,6.198636364,7.113818182,7.216909091,6.877818182,7.300545455,7.041454545,6.960727273,6.581818182,6.466090909,6.943727273,7.146090909,7.350090909,7.169727273,6.056363636,7.160818182,7.072090909,7.050454545,6.89,6.978363636,6.649090909,7.797636364,6.843727273,6.984181818,6.639090909,7.333545455,7.156727273,7.614545455,6.451454545,7.448818182,7.295727273,6.792909091,7.401545455,7.265181818,7.221727273,6.669,6.570909091,6.425363636,6.510272727,6.620545455,7.274090909,7.462909091,6.779454545,7.337454545,6.925090909,6.983909091,6.671090909,6.803454545
CD81,6.62,6.874,7.101,6.923,7.393,7.052,7.231,6.336,7.018,6.868,6.73,7.25,6.74,6.716,6.448,6.811,7.125,6.649,6.975,7.301,6.942,7.02,6.894,6.883,7.006,7.122,6.321,6.942,6.1,6.538,6.607,6.763,6.95,6.835,7.132,6.616,7.021,6.773,6.739,6.691,6.563,6.942,6.82,7.115,7.123,6.127,6.81,6.994,7.146,7.065,7.437,7.008,7.022,6.947,6.913,6.223,7.032,7.096,7.08,7.037,7.313,6.804,6.518,6.556,6.683,6.845,7.2,6.441,6.954,6.883,6.573,6.826,6.761,6.819,7.246,6.748,6.586,6.753,6.713,6.756,6.791,7.099,6.967,6.7,6.663,7.178,6.909,7.124,7.054,7.088,7.32,6.636,6.943,7.476,6.964,7.239,6.597,6.811,7.261
RPL31,6.919333333,6.538666667,5.750666667,6.605,6.805333333,6.343333333,5.755,6.002333333,6.806333333,6.693,6.881333333,6.364666667,6.4,6.197666667,6.362666667,5.79,6.495333333,7.206666667,6.111,6.132333333,5.743333333,6.453666667,6.543666667,6.984,6.807333333,6.370666667,6.994666667,6.963666667,6.336,6.684,6.703333333,6.55,6.320333333,6.715,6.56,6.724,6.448666667,6.637333333,6.851666667,6.657,5.801,6.632,6.810666667,6.31,7.176333333,6.759333333,6.440333333,6.579666667,6.230333333,6.355,6.651666667,6.455,7.198,6.314666667,6.129,6.043,5.544333333,6.820666667,6.835,6.494333333,6.410333333,5.822333333,6.472333333,6.295666667,7.065666667,6.553,7.319,5.731333333,6.391333333,6.577666667,6.213666667,6.236,5.905666667,6.934,6.218333333,7.263,6.396333333,5.738,7.287,6.776,6.341666667,5.781,6.180333333,6.369,7.025333333,5.955,6.568,6.638666667,6.322,6.476333333,6.540333333,6.180666667,5.496,7.184666667,6.632666667,6.492333333,6.255,6.423,6.354333333
PLEKHB1,4.706,5.1705,5.2335,4.816,5.118,5.026,5.167,4.5975,5.242,5.334,4.904,4.684,4.457,4.9885,5.054,5.262,5.1025,4.597,4.193,5.176,4.784,5.0305,5.2375,4.728,5.501,5.084,5.085,4.8645,5.3825,4.825,4.7765,5.2895,4.7185,4.949,5.1405,5.72,4.8905,4.9365,5.167,3.8715,5.0185,5.02,5.4135,5.194,5.04,5.018,5.3285,5.133,4.7285,4.7245,5.288,4.862,5.435,4.9375,5.0795,4.86,5.113,5.017,4.9735,5.1735,5.1555,4.594,4.9425,5.105,5.18,5.359,5.2695,4.4515,5.076,5.3815,5.097,5.406,4.8695,5.1315,5.124,5.031,4.677,5.2355,4.649,5.0735,5.0965,4.9795,5.454,5.39,5.2435,4.7535,4.9855,4.987,5.415,5.2765,5.734,4.4905,5.2315,5.247,5.1475,4.609,5.2895,5.0095,5.053
HBB,12.698,12.673,12.6215,12.7375,12.3655,12.585,12.7635,12.777,12.662,12.773,12.639,12.6915,12.684,12.6455,12.726,12.6595,12.5935,12.561,12.6,12.5475,12.677,12.5745,12.7505,12.7145,12.72,12.629,12.7375,12.6715,12.73,12.6605,12.7805,12.5705,12.622,12.731,12.6065,12.688,12.8285,12.649,12.7365,12.622,12.6785,12.7445,12.57,12.6685,12.6015,12.798,12.6895,12.6745,12.6785,12.583,12.477,12.6175,12.6395,12.616,12.578,12.7235,12.5845,12.6965,12.636,12.692,12.6735,12.635,12.679,12.6455,12.7415,12.6085,12.4475,12.645,12.6515,12.714,12.6165,12.562,12.6325,12.6005,12.621,12.6335,12.6645,12.6585,12.655,12.6565,12.6955,12.6535,12.669,12.6445,12.625,12.7055,12.6155,12.658,12.6345,12.592,12.71,12.657,12.688,12.675,12.6585,12.6055,12.5535,12.6185,12.689
CLU,3.4592,3.6546,3.6376,3.1572,3.3984,3.6684,3.5444,3.6062,3.5986,3.7038,3.4294,3.655,3.2406,3.581,3.3106,3.5798,3.4412,3.217,3.391,3.6658,3.5826,3.696,3.507,3.4272,3.5846,3.3616,3.481,3.3398,3.385,3.5326,3.358,3.4174,3.4326,3.3634,3.563,3.544,3.412,3.461,4.0364,3.4098,3.5686,3.3472,3.8046,3.6268,3.92,3.4102,3.623,3.5788,3.4696,3.961,3.59,3.5454,3.6848,3.5078,3.666,3.4416,3.2826,3.5562,3.536,3.7656,3.6332,3.5388,3.593,3.4624,3.3864,3.8164,3.3458,3.7288,3.4556,3.532,3.5804,3.75,3.3322,3.641,3.4408,3.4232,3.3882,3.6864,3.1696,3.5572,3.574,3.4304,3.4656,3.5672,3.2732,3.564,3.7286,3.5834,3.7676,3.6626,3.8826,3.5088,3.4158,3.5702,3.4856,3.4004,3.5738,3.506,3.6662
ICAM1,5.514333333,5.761,5.552666667,5.715,5.179333333,5.208666667,5.401,5.953,5.102333333,5.778666667,5.497333333,5.649666667,5.250666667,5.087333333,5.533333333,5.699333333,5.397666667,5.379,5.757666667,5.397,5.535666667,5.447666667,5.561666667,5.871,5.588,5.188,4.86,5.394,5.499,6.178666667,6.097,5.338666667,5.562333333,5.253333333,5.893333333,5.329333333,5.931666667,5.250333333,5.956,6.061666667,5.317,5.582666667,5.643333333,5.488,5.401,6.035333333,5.309333333,5.372,5.67,5.989,5.228333333,5.646333333,5.794,5.568,5.599333333,6.055333333,5.858333333,5.334666667,5.452666667,5.419,5.439666667,5.613,5.457333333,5.842,5.629333333,5.590666667,5.394666667,6.139666667,5.666,5.209666667,5.602333333,5.655333333,5.378333333,5.739,5.78,5.030333333,5.73,5.527,5.363333333,5.304666667,5.799,5.877666667,5.703,5.708666667,5.266,6.086666667,6.004,5.706,5.385,5.462666667,6.172333333,5.578333333,5.527666667,4.764,5.359666667,4.949333333,5.908333333,5.569,5.619333333
OLR1,3.34975,2.474,2.05275,2.6115,2.8095,2.28375,2.232,3.14575,2.60875,3.3815,2.88925,3.1935,2.59075,2.54225,2.99875,2.69775,2.20475,2.80675,2.775,3.0625,3.5345,2.30925,2.71225,3.03075,2.17525,2.5975,2.87475,2.5555,2.7185,2.3885,2.752,2.57475,2.12275,2.494,2.953,2.588,2.313,2.7115,2.4395,2.47025,2.502,2.573,3.156,2.615,2.6845,2.341,2.558,2.58375,2.11925,2.75125,2.54575,2.386,2.8355,2.28725,2.87475,2.8815,2.663,2.4655,2.547,2.7375,2.24925,2.76375,3.1,2.5345,2.90425,2.64925,2.62425,2.64625,2.48575,3.1625,3.6825,2.3365,2.546,3.182,2.2975,3.60925,3.78775,3.45625,3.288,2.221,2.47275,2.251,2.71525,2.38825,2.267,2.75125,2.874,2.3775,2.35975,3.2,2.382,2.352,2.3575,2.1815,2.771,2.3065,2.6715,2.6345,2.52225
VWF,3.2146,3.3372,4.089,3.1218,2.9254,3.513,3.066,3.5288,3.4668,3.2406,3.324,3.3002,3.1824,3.5662,3.136,3.3586,3.293,2.9428,3.6252,3.6848,3.751,3.7,2.9398,3.2528,3.3296,3.3824,3.4314,3.182,3.2134,3.5522,3.031,3.2464,3.569,3.4088,3.3698,3.5552,3.244,3.8764,3.6618,3.17,3.3416,3.1332,3.5652,3.3998,3.2298,3.425,3.5306,3.6228,3.2226,3.1956,3.3278,3.711,3.2576,3.3434,3.2344,3.1132,3.3418,3.2166,3.2046,3.6848,3.4104,3.3072,3.5432,3.8596,3.406,3.5572,2.9582,3.9038,3.3456,3.548,3.3664,3.927,3.787,3.0868,3.214,3.3462,3.351,3.973,2.822,3.2112,3.7154,3.6018,3.2164,3.4774,3.2354,3.417,3.5864,3.631,3.7086,3.4134,3.393,3.2528,3.4324,3.371,3.296,2.9952,3.661,3.1216,3.4534
ADIPOR,10.133,9.4375,9.684,9.5155,8.94125,9.59525,9.3415,9.86,9.4595,9.30475,9.8005,9.62425,9.49925,9.98175,10.18725,9.996,9.333,8.5965,9.8765,9.8005,9.79575,9.22825,9.51225,9.02825,9.66925,9.46175,9.428,9.28975,9.9355,9.26,9.53825,9.92125,9.6045,9.9525,9.713,9.5945,9.761,10.05925,9.13975,9.1275,9.6565,9.5925,9.23575,9.72125,8.9595,9.414,9.7245,9.60775,9.62975,9.312,9.01525,9.4495,9.2575,9.64,9.37875,9.56625,9.691,9.48075,9.81275,10.084,9.15675,9.58675,9.30525,9.81,9.5455,9.77275,8.48175,9.7115,9.277,9.953,9.71275,9.669,9.73625,9.6335,9.546,9.64525,9.53475,9.81625,8.97775,9.78175,9.548,9.48275,9.55375,9.50625,9.8715,9.66775,9.5845,9.581,9.23925,9.713,9.858,9.64325,9.74975,9.85425,9.4575,9.7065,9.82375,9.94025,9.75325
